num_distr,mouse.time,,,,,,
5,5.8638367,,,,,,
5,3.6846531,,,,,,
5,1.8576267,,,,,,
5,3.0594454,,,,,,
5,3.2938323,,,,,,
5,2.6021392,,mean_rt5,mean_rt10,slope = (y2-y1)/(x2-x1),unit - ms/distr,total 1000 trials (5 participants)
5,1.6128898,,2.519295196,2.835746483,2.331887443,2331.887443,
5,5.3794953,,,,,,
5,2.4646059,,,,,,
5,3.2889628,,,,,,
5,2.3410202,,,,,,
5,4.5982195,,,,,,
5,2.4075627,,,,,,
5,1.6478108,,,,,,
5,2.3045602,,,,,,
5,1.8714917,,,,,,
5,1.5036677,,,,,,
5,2.7055255,,,,,,
5,2.2034857,,,,,,
5,2.3406021,,,,,,
5,2.3242111,,,,,,
5,2.5422165,,,,,,
5,2.0433793,,,,,,
5,2.0126998,,,,,,
5,3.2389277,,,,,,
5,1.3447371,,,,,,
5,1.9784606,,,,,,
5,1.4842644,,,,,,
5,2.2000732,,,,,,
5,3.3131998,,,,,,
5,0.046801,,,,,,
5,1.7778584,,,,,,
5,1.4459948,,,,,,
5,1.1286055,,,,,,
5,1.3310769,,,,,,
5,2.2961331,,,,,,
5,2.1068544,,,,,,
5,1.9004639,,,,,,
5,2.6093116,,,,,,
5,2.2696356,,,,,,
5,1.2529805,,,,,,
5,5.4947404,,,,,,
5,2.2697172,,,,,,
5,5.0207652,,,,,,
5,3.7977689,,,,,,
5,3.1255629,,,,,,
5,2.0823019,,,,,,
5,2.7091005,,,,,,
5,4.8166528,,,,,,
5,4.6091672,,,,,,
5,2.6389415,,,,,,
5,2.7123997,,,,,,
5,2.711199,,,,,,
5,1.5904039,,,,,,
5,1.585041,,,,,,
5,1.8452375,,,,,,
5,2.3528198,,,,,,
5,2.8525926,,,,,,
5,1.7902054,,,,,,
5,1.5130131,,,,,,
5,1.4800306,,,,,,
5,2.3347636,,,,,,
5,2.6859137,,,,,,
5,1.6498011,,,,,,
5,3.2238461,,,,,,
5,3.4952628,,,,,,
5,3.1502748,,,,,,
5,1.8345274,,,,,,
5,2.9406701,,,,,,
5,2.382719,,,,,,
5,3.4224038,,,,,,
5,2.873197,,,,,,
5,2.3343555,,,,,,
5,3.6726091,,,,,,
5,2.4203831,,,,,,
5,5.6442053,,,,,,
5,1.864221,,,,,,
5,3.3123267,,,,,,
5,3.2478281,,,,,,
5,1.4594096,,,,,,
5,1.6036584,,,,,,
5,1.0168509,,,,,,
5,1.825288,,,,,,
5,1.8742469,,,,,,
5,1.9357196,,,,,,
5,2.0872591,,,,,,
5,2.0065879,,,,,,
5,6.0622042,,,,,,
5,2.3030109,,,,,,
5,1.4875941,,,,,,
5,2.7222869,,,,,,
5,3.7482892,,,,,,
5,1.9513884,,,,,,
5,2.0510384,,,,,,
5,1.9500024,,,,,,
5,1.3814262,,,,,,
5,1.752666,,,,,,
5,1.2051462,,,,,,
5,3.3978675,,,,,,
5,2.0031816,,,,,,
5,1.6548734,,,,,,
5,2.3218264,,,,,,
10,1.9182337,,,,,,
10,1.3030406,,,,,,
10,2.0158375,,,,,,
10,2.3910815,,,,,,
10,1.8789815,,,,,,
10,2.3385148,,,,,,
10,0.0690549,,,,,,
10,3.9975128,,,,,,
10,1.7526262,,,,,,
10,1.2873565,,,,,,
10,2.7728716,,,,,,
10,3.3446022,,,,,,
10,7.5758113,,,,,,
10,4.9132355,,,,,,
10,3.8757306,,,,,,
10,3.2442977,,,,,,
10,4.7591428,,,,,,
10,1.8914899,,,,,,
10,2.5094631,,,,,,
10,3.6928121,,,,,,
10,1.8174406,,,,,,
10,1.8178557,,,,,,
10,2.9184981,,,,,,
10,2.0626394,,,,,,
10,3.9934002,,,,,,
10,1.7275394,,,,,,
10,1.7712189,,,,,,
10,6.5199034,,,,,,
10,1.4722475,,,,,,
10,2.094572,,,,,,
10,2.2792552,,,,,,
10,1.8439576,,,,,,
10,3.76521,,,,,,
10,5.9213816,,,,,,
10,0.4045098,,,,,,
10,2.2820013,,,,,,
10,2.4547953,,,,,,
10,4.8098618,,,,,,
10,6.2972698,,,,,,
10,2.9596181,,,,,,
10,1.962057,,,,,,
10,6.4476861,,,,,,
10,2.3936604,,,,,,
10,3.8351278,,,,,,
10,2.3124728,,,,,,
10,2.6514967,,,,,,
10,2.9239338,,,,,,
10,3.2945618,,,,,,
10,2.3665323,,,,,,
10,2.3448773,,,,,,
10,2.0308129,,,,,,
10,1.9498999,,,,,,
10,1.8245871,,,,,,
10,2.5063505,,,,,,
10,3.0026743,,,,,,
10,1.7309383,,,,,,
10,1.8688134,,,,,,
10,2.5590913,,,,,,
10,3.0136377,,,,,,
10,2.2837222,,,,,,
10,3.4667483,,,,,,
10,5.6942914,,,,,,
10,3.1665798,,,,,,
10,3.2156251,,,,,,
10,2.3293676,,,,,,
10,2.7369949,,,,,,
10,1.6262002,,,,,,
10,1.5494053,,,,,,
10,2.3089183,,,,,,
10,4.262029,,,,,,
10,2.573553,,,,,,
10,2.4457665,,,,,,
10,4.0280087,,,,,,
10,1.571955,,,,,,
10,1.9289225,,,,,,
10,2.8874343,,,,,,
10,1.5702539,,,,,,
10,8.2100203,,,,,,
10,4.1876456,,,,,,
10,3.7131097,,,,,,
10,3.2399401,,,,,,
10,2.0498781,,,,,,
10,1.9390282,,,,,,
10,2.0314218,,,,,,
10,2.5234253,,,,,,
10,1.6672436,,,,,,
10,6.3354451,,,,,,
10,2.9995746,,,,,,
10,1.7938688,,,,,,
10,2.236885,,,,,,
10,2.8920254,,,,,,
10,2.2946558,,,,,,
10,3.5302945,,,,,,
10,1.9247609,,,,,,
10,1.343534,,,,,,
10,2.341124,,,,,,
10,1.6749767,,,,,,
10,1.5644379,,,,,,
